"filename", "language", "YAML", "Markdown", "Shell Script", "Go", "Go Checksum File", "Go Module File", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service_test.go", "Go", 0, 0, 0, 44, 0, 0, 15, 6, 65
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/status.go", "Go", 0, 0, 0, 101, 0, 0, 15, 14, 130
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/sync.go", "Go", 0, 0, 0, 53, 0, 0, 15, 10, 78
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/test_helpers_test.go", "Go", 0, 0, 0, 45, 0, 0, 15, 6, 66
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/token.go", "Go", 0, 0, 0, 12, 0, 0, 15, 4, 31
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/client.go", "Go", 0, 0, 0, 164, 0, 0, 15, 21, 200
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/multipart_state.go", "Go", 0, 0, 0, 106, 0, 0, 15, 11, 132
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/phase_mutation.go", "Go", 0, 0, 0, 103, 0, 0, 15, 10, 128
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/secret.go", "Go", 0, 0, 0, 266, 0, 0, 15, 27, 308
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/secret_test.go", "Go", 0, 0, 0, 175, 0, 0, 15, 26, 216
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/token_storage.go", "Go", 0, 0, 0, 56, 0, 0, 15, 10, 81
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/options.go", "Go", 0, 0, 0, 113, 0, 0, 15, 15, 143
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/options_test.go", "Go", 0, 0, 0, 188, 0, 0, 15, 17, 220
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/render.go", "Go", 0, 0, 0, 42, 0, 0, 15, 7, 64
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/render_test.go", "Go", 0, 0, 0, 70, 0, 0, 15, 13, 98
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/status.go", "Go", 0, 0, 0, 17, 0, 0, 15, 5, 37
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/detect.go", "Go", 0, 0, 0, 60, 0, 0, 15, 11, 86
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/detect_test.go", "Go", 0, 0, 0, 41, 0, 0, 15, 12, 68
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/format_common.go", "Go", 0, 0, 0, 109, 0, 0, 15, 16, 140
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/gguf.go", "Go", 0, 0, 0, 36, 0, 0, 15, 7, 58
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/runner.go", "Go", 0, 0, 0, 111, 0, 0, 15, 16, 142
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/safetensors.go", "Go", 0, 0, 0, 44, 0, 0, 15, 7, 66
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/validation.go", "Go", 0, 0, 0, 29, 0, 0, 15, 6, 50
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/validation_test.go", "Go", 0, 0, 0, 119, 0, 0, 15, 23, 157
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/kitops/adapter.go", "Go", 0, 0, 0, 222, 0, 0, 15, 38, 275
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/kitops/adapter_test.go", "Go", 0, 0, 0, 54, 0, 0, 15, 13, 82
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/oci/adapter_test.go", "Go", 0, 0, 0, 100, 0, 0, 15, 13, 128
