"filename", "language", "Markdown", "Go Checksum File", "YAML", "Go", "Go Module File", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/status.go", "Go", 0, 0, 0, 31, 0, 15, 6, 52
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/status_test.go", "Go", 0, 0, 0, 71, 0, 15, 9, 95
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/store.go", "Go", 0, 0, 0, 85, 0, 15, 13, 113
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/store_test.go", "Go", 0, 0, 0, 43, 0, 15, 9, 67
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/test_helpers_test.go", "Go", 0, 0, 0, 93, 0, 15, 10, 118
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/upload.go", "Go", 0, 0, 0, 118, 0, 15, 11, 144
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publication/BRANCH_MATRIX.ru.md", "Markdown", 25, 0, 0, 0, 0, 0, 7, 32
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publication/conditions.go", "Go", 0, 0, 0, 206, 0, 15, 20, 241
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publication/operation.go", "Go", 0, 0, 0, 47, 0, 15, 11, 73
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publication/operation_test.go", "Go", 0, 0, 0, 88, 0, 15, 11, 114
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publication/runtime_decisions.go", "Go", 0, 0, 0, 127, 0, 15, 11, 153
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publication/runtime_decisions_test.go", "Go", 0, 0, 0, 199, 0, 15, 12, 226
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publication/status.go", "Go", 0, 0, 0, 74, 0, 15, 9, 98
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publication/status_test.go", "Go", 0, 0, 0, 199, 0, 15, 21, 235
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/publication/operation_contract.go", "Go", 0, 0, 0, 96, 0, 15, 17, 128
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/publication/operation_contract_test.go", "Go", 0, 0, 0, 247, 0, 15, 16, 278
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/publication/ports.go", "Go", 0, 0, 0, 80, 0, 15, 18, 113
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/publication/ports_test.go", "Go", 0, 0, 0, 50, 0, 15, 10, 75
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/publication/snapshot.go", "Go", 0, 0, 0, 119, 0, 15, 28, 162
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/publication/snapshot_test.go", "Go", 0, 0, 0, 53, 0, 15, 10, 78
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/support/cleanuphandle/handle.go", "Go", 0, 0, 0, 102, 0, 15, 27, 144
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/support/cleanuphandle/handle_test.go", "Go", 0, 0, 0, 40, 0, 15, 11, 66
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/support/modelobject/modelobject.go", "Go", 0, 0, 0, 78, 0, 15, 9, 102
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/support/resourcenames/names.go", "Go", 0, 0, 0, 42, 0, 15, 9, 66
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/werf.inc.yaml", "YAML", 0, 0, 58, 0, 0, 0, 1, 59
"Total", "-", 142, 139, 58, 9978, 63, 1298, 1363, 13041
