"filename", "language", "Markdown", "YAML", "Go Module File", "Go Checksum File", "Go", "Shell Script", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/detect_test.go", "Go", 0, 0, 0, 0, 41, 0, 15, 12, 68
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/format_common.go", "Go", 0, 0, 0, 0, 78, 0, 15, 12, 105
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/gguf.go", "Go", 0, 0, 0, 0, 33, 0, 15, 7, 55
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/runner.go", "Go", 0, 0, 0, 0, 111, 0, 15, 16, 142
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/safetensors.go", "Go", 0, 0, 0, 0, 41, 0, 15, 7, 63
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/validation.go", "Go", 0, 0, 0, 0, 29, 0, 15, 6, 50
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/validation_test.go", "Go", 0, 0, 0, 0, 101, 0, 15, 22, 138
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/kitops/adapter.go", "Go", 0, 0, 0, 0, 284, 0, 15, 48, 347
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/kitops/adapter_test.go", "Go", 0, 0, 0, 0, 29, 0, 15, 10, 54
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/common/profile.go", "Go", 0, 0, 0, 0, 110, 0, 15, 18, 143
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/common/profile_test.go", "Go", 0, 0, 0, 0, 34, 0, 15, 10, 59
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/gguf/profile.go", "Go", 0, 0, 0, 0, 170, 0, 15, 22, 207
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/gguf/profile_test.go", "Go", 0, 0, 0, 0, 46, 0, 15, 6, 67
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/safetensors/profile.go", "Go", 0, 0, 0, 0, 285, 0, 15, 43, 343
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/safetensors/profile_test.go", "Go", 0, 0, 0, 0, 70, 0, 15, 6, 91
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/archive.go", "Go", 0, 0, 0, 0, 276, 0, 15, 36, 327
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/archive_test.go", "Go", 0, 0, 0, 0, 150, 0, 15, 24, 189
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http.go", "Go", 0, 0, 0, 0, 242, 0, 15, 32, 289
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http_probe.go", "Go", 0, 0, 0, 0, 113, 0, 15, 12, 140
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http_probe_test.go", "Go", 0, 0, 0, 0, 61, 0, 15, 10, 86
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http_test.go", "Go", 0, 0, 0, 0, 45, 0, 15, 11, 71
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface.go", "Go", 0, 0, 0, 0, 283, 0, 15, 36, 334
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface_test.go", "Go", 0, 0, 0, 0, 28, 0, 15, 9, 52
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/rawstage.go", "Go", 0, 0, 0, 0, 105, 0, 15, 15, 135
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/rawstage_test.go", "Go", 0, 0, 0, 0, 56, 0, 15, 7, 78
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/remote.go", "Go", 0, 0, 0, 0, 68, 0, 15, 12, 95
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/remote_test.go", "Go", 0, 0, 0, 0, 116, 0, 15, 21, 152
