"filename", "language", "Markdown", "YAML", "Go Module File", "Go Checksum File", "Go", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/uploadstaging/contract.go", "Go", 0, 0, 0, 0, 83, 15, 20, 118
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/publicationartifact/contract.go", "Go", 0, 0, 0, 0, 46, 17, 11, 74
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/publicationartifact/contract_test.go", "Go", 0, 0, 0, 0, 43, 15, 11, 69
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/publicationartifact/location.go", "Go", 0, 0, 0, 0, 35, 17, 9, 61
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/publicationartifact/location_test.go", "Go", 0, 0, 0, 0, 42, 15, 12, 69
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/publishedsnapshot/snapshot.go", "Go", 0, 0, 0, 0, 9, 0, 0, 9
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/support/cleanuphandle/handle.go", "Go", 0, 0, 0, 0, 18, 0, 1, 19
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/support/cleanuphandle/handle_test.go", "Go", 0, 0, 0, 0, 13, 0, 2, 15
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/support/modelobject/modelobject.go", "Go", 0, 0, 0, 0, 20, 0, 2, 22
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/support/resourcenames/names.go", "Go", 0, 0, 0, 0, 16, 0, 3, 19
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/support/resourcenames/names_test.go", "Go", 0, 0, 0, 0, 2, 0, 0, 2
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/support/testkit/testkit.go", "Go", 0, 0, 0, 0, 30, 0, 2, 32
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/werf.inc.yaml", "YAML", 0, 1, 0, 0, 0, 0, 0, 1
"Total", "-", 179, 1, 20, 40, 6881, 686, 849, 8656
