"filename", "language", "Markdown", "YAML", "Shell Script", "Go Module File", "Go", "Go Checksum File", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/plan_source_worker.go", "Go", 0, 0, 0, 0, 127, 0, 15, 14, 156
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/plan_source_worker_test.go", "Go", 0, 0, 0, 0, 169, 0, 15, 8, 192
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/start_publication.go", "Go", 0, 0, 0, 0, 35, 0, 15, 9, 59
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/start_publication_test.go", "Go", 0, 0, 0, 0, 74, 0, 15, 7, 96
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/artifactbackend/contract.go", "Go", 0, 0, 0, 0, 60, 0, 21, 14, 95
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/artifactbackend/contract_test.go", "Go", 0, 0, 0, 0, 61, 0, 15, 14, 90
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/artifactbackend/location.go", "Go", 0, 0, 0, 0, 35, 0, 17, 9, 61
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/artifactbackend/location_test.go", "Go", 0, 0, 0, 0, 42, 0, 15, 12, 69
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/bootstrap/bootstrap.go", "Go", 0, 0, 0, 0, 125, 0, 15, 18, 158
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/bootstrap/bootstrap_test.go", "Go", 0, 0, 0, 0, 55, 0, 15, 10, 80
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/io.go", "Go", 0, 0, 0, 0, 161, 0, 15, 14, 190
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/job.go", "Go", 0, 0, 0, 0, 126, 0, 15, 17, 158
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/job_test.go", "Go", 0, 0, 0, 0, 43, 0, 15, 7, 65
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/options.go", "Go", 0, 0, 0, 0, 41, 0, 15, 12, 68
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/reconciler.go", "Go", 0, 0, 0, 0, 36, 0, 15, 10, 61
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/reconciler_test.go", "Go", 0, 0, 0, 0, 183, 0, 15, 45, 243
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/test_helpers_test.go", "Go", 0, 0, 0, 0, 123, 0, 15, 22, 160
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/io.go", "Go", 0, 0, 0, 0, 141, 0, 15, 15, 171
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/options.go", "Go", 0, 0, 0, 0, 103, 0, 15, 18, 136
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/policy.go", "Go", 0, 0, 0, 0, 38, 0, 15, 7, 60
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/reconciler.go", "Go", 0, 0, 0, 0, 143, 0, 15, 17, 175
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/reconciler_test.go", "Go", 0, 0, 0, 0, 135, 0, 15, 26, 176
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/test_helpers_test.go", "Go", 0, 0, 0, 0, 158, 0, 15, 23, 196
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/watch.go", "Go", 0, 0, 0, 0, 54, 0, 15, 11, 80
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/artifactcleanup/run.go", "Go", 0, 0, 0, 0, 29, 0, 15, 6, 50
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/artifactcleanup/run_test.go", "Go", 0, 0, 0, 0, 27, 0, 15, 8, 50
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/run.go", "Go", 0, 0, 0, 0, 247, 0, 15, 28, 290
